,Date,State,Average_Job_Created
129,2008-09,ALASKA,337
130,2008-10,ALASKA,319
131,2008-11,ALASKA,311
132,2008-12,ALASKA,309
133,2009-01,ALASKA,302
134,2009-02,ALASKA,307
135,2009-03,ALASKA,308
136,2009-04,ALASKA,313
137,2009-05,ALASKA,323
138,2009-06,ALASKA,338
139,2009-07,ALASKA,343
140,2009-08,ALASKA,342
141,2009-09,ALASKA,334
142,2009-10,ALASKA,317
143,2009-11,ALASKA,310
144,2009-12,ALASKA,307
145,2010-01,ALASKA,303
146,2010-02,ALASKA,307
147,2010-03,ALASKA,309
148,2010-04,ALASKA,315
149,2010-05,ALASKA,325
150,2010-06,ALASKA,343
151,2010-07,ALASKA,349
152,2010-08,ALASKA,347
153,2010-09,ALASKA,341
154,2010-10,ALASKA,324
155,2010-11,ALASKA,317
156,2010-12,ALASKA,314
157,2011-01,ALASKA,308
158,2011-02,ALASKA,314
159,2011-03,ALASKA,316
160,2011-04,ALASKA,321
161,2011-05,ALASKA,330
162,2011-06,ALASKA,348
163,2011-07,ALASKA,354
164,2011-08,ALASKA,352
165,2011-09,ALASKA,347
166,2011-10,ALASKA,329
167,2011-11,ALASKA,321
168,2011-12,ALASKA,318
169,2012-01,ALASKA,312
170,2012-02,ALASKA,320
171,2012-03,ALASKA,322
172,2012-04,ALASKA,326
173,2012-05,ALASKA,337
174,2012-06,ALASKA,354
175,2012-07,ALASKA,358
176,2012-08,ALASKA,357
177,2012-09,ALASKA,349
178,2012-10,ALASKA,336
179,2012-11,ALASKA,325
180,2012-12,ALASKA,321
181,2013-01,ALASKA,314
182,2013-02,ALASKA,322
183,2013-03,ALASKA,324
184,2013-04,ALASKA,329
185,2013-05,ALASKA,340
186,2013-06,ALASKA,355
187,2013-07,ALASKA,360
188,2013-08,ALASKA,359
189,2013-09,ALASKA,351
190,2013-10,ALASKA,333
191,2013-11,ALASKA,325
192,2013-12,ALASKA,322
193,2014-01,ALASKA,318
194,2014-02,ALASKA,322
195,2014-03,ALASKA,325
196,2014-04,ALASKA,331
197,2014-05,ALASKA,344
198,2014-06,ALASKA,356
199,2014-07,ALASKA,362
200,2014-08,ALASKA,360
201,2014-09,ALASKA,350
202,2014-10,ALASKA,335
203,2014-11,ALASKA,326
204,2014-12,ALASKA,324
205,2015-01,ALASKA,321
206,2015-02,ALASKA,326
207,2015-03,ALASKA,328
208,2015-04,ALASKA,332
209,2015-05,ALASKA,345
210,2015-06,ALASKA,358
211,2015-07,ALASKA,365
212,2015-08,ALASKA,360
213,2015-09,ALASKA,351
214,2015-10,ALASKA,334
215,2015-11,ALASKA,324
216,2015-12,ALASKA,321
217,2016-01,ALASKA,317
218,2016-02,ALASKA,322
219,2016-03,ALASKA,323
220,2016-04,ALASKA,330
221,2016-05,ALASKA,340
222,2016-06,ALASKA,351
223,2016-07,ALASKA,358
224,2016-08,ALASKA,354
225,2016-09,ALASKA,342
226,2016-10,ALASKA,328
227,2016-11,ALASKA,318
228,2016-12,ALASKA,316
229,2017-01,ALASKA,310
230,2017-02,ALASKA,317
231,2017-03,ALASKA,318
232,2017-04,ALASKA,321
233,2017-05,ALASKA,335
234,2017-06,ALASKA,349
235,2017-07,ALASKA,353
236,2017-08,ALASKA,351
237,2017-09,ALASKA,340
238,2017-10,ALASKA,325
239,2017-11,ALASKA,314
240,2017-12,ALASKA,312
241,2018-01,ALASKA,308
242,2008-01,ARIZONA,2650
243,2008-02,ARIZONA,2673
244,2008-03,ARIZONA,2672
245,2008-04,ARIZONA,2661
246,2008-05,ARIZONA,2655
247,2008-06,ARIZONA,2605
248,2008-07,ARIZONA,2563
249,2008-08,ARIZONA,2601
250,2008-09,ARIZONA,2607
251,2008-10,ARIZONA,2600
252,2008-11,ARIZONA,2596
253,2008-12,ARIZONA,2581
254,2009-01,ARIZONA,2498
255,2009-02,ARIZONA,2493
256,2009-03,ARIZONA,2485
257,2009-04,ARIZONA,2467
258,2009-05,ARIZONA,2451
259,2009-06,ARIZONA,2391
260,2009-07,ARIZONA,2363
261,2009-08,ARIZONA,2387
262,2009-09,ARIZONA,2400
263,2009-10,ARIZONA,2407
264,2009-11,ARIZONA,2421
265,2009-12,ARIZONA,2422
266,2010-01,ARIZONA,2366
267,2010-02,ARIZONA,2385
268,2010-03,ARIZONA,2396
269,2010-04,ARIZONA,2407
270,2010-05,ARIZONA,2413
271,2010-06,ARIZONA,2351
272,2010-07,ARIZONA,2326
273,2010-08,ARIZONA,2357
274,2010-09,ARIZONA,2373
275,2010-10,ARIZONA,2402
276,2010-11,ARIZONA,2423
277,2010-12,ARIZONA,2430
278,2011-01,ARIZONA,2379
279,2011-02,ARIZONA,2402
280,2011-03,ARIZONA,2414
281,2011-04,ARIZONA,2426
282,2011-05,ARIZONA,2425
283,2011-06,ARIZONA,2361
284,2011-07,ARIZONA,2337
285,2011-08,ARIZONA,2392
286,2011-09,ARIZONA,2422
287,2011-10,ARIZONA,2440
288,2011-11,ARIZONA,2464
289,2011-12,ARIZONA,2467
290,2012-01,ARIZONA,2425
291,2012-02,ARIZONA,2448
292,2012-03,ARIZONA,2466
293,2012-04,ARIZONA,2468
294,2012-05,ARIZONA,2464
295,2012-06,ARIZONA,2420
296,2012-07,ARIZONA,2387
297,2012-08,ARIZONA,2445
298,2012-09,ARIZONA,2474
299,2012-10,ARIZONA,2494
300,2012-11,ARIZONA,2523
301,2012-12,ARIZONA,2531
302,2013-01,ARIZONA,2478
303,2013-02,ARIZONA,2505
304,2013-03,ARIZONA,2517
305,2013-04,ARIZONA,2526
306,2013-05,ARIZONA,2524
307,2013-06,ARIZONA,2472
308,2013-07,ARIZONA,2451
309,2013-08,ARIZONA,2502
310,2013-09,ARIZONA,2530
311,2013-10,ARIZONA,2553
312,2013-11,ARIZONA,2586
313,2013-12,ARIZONA,2592
314,2014-01,ARIZONA,2536
315,2014-02,ARIZONA,2558
316,2014-03,ARIZONA,2566
317,2014-04,ARIZONA,2577
318,2014-05,ARIZONA,2564
319,2014-06,ARIZONA,2520
320,2014-07,ARIZONA,2497
321,2014-08,ARIZONA,2547
322,2014-09,ARIZONA,2576
323,2014-10,ARIZONA,2610
324,2014-11,ARIZONA,2639
325,2014-12,ARIZONA,2649
326,2015-01,ARIZONA,2596
327,2015-02,ARIZONA,2621
328,2015-03,ARIZONA,2628
329,2015-04,ARIZONA,2639
330,2015-05,ARIZONA,2630
331,2015-06,ARIZONA,2576
332,2015-07,ARIZONA,2563
333,2015-08,ARIZONA,2614
334,2015-09,ARIZONA,2646
335,2015-10,ARIZONA,2686
336,2015-11,ARIZONA,2715
337,2015-12,ARIZONA,2718
338,2016-01,ARIZONA,2663
339,2016-02,ARIZONA,2693
340,2016-03,ARIZONA,2701
341,2016-04,ARIZONA,2717
342,2016-05,ARIZONA,2704
343,2016-06,ARIZONA,2647
344,2016-07,ARIZONA,2642
345,2016-08,ARIZONA,2690
346,2016-09,ARIZONA,2730
347,2016-10,ARIZONA,2754
348,2016-11,ARIZONA,2778
349,2016-12,ARIZONA,2782
350,2017-01,ARIZONA,2731
351,2017-02,ARIZONA,2758
352,2017-03,ARIZONA,2769
353,2017-04,ARIZONA,2782
354,2017-05,ARIZONA,2769
355,2017-06,ARIZONA,2726
356,2017-07,ARIZONA,2703
357,2017-08,ARIZONA,2758
358,2017-09,ARIZONA,2794
359,2017-10,ARIZONA,2823
360,2017-11,ARIZONA,2852
361,2017-12,ARIZONA,2857
362,2018-01,ARIZONA,2807
363,2008-01,ARKANSAS,1191
364,2008-02,ARKANSAS,1198
365,2008-03,ARKANSAS,1206
366,2008-04,ARKANSAS,1207
367,2008-05,ARKANSAS,1212
368,2008-06,ARKANSAS,1209
369,2008-07,ARKANSAS,1190
370,2008-08,ARKANSAS,1200
371,2008-09,ARKANSAS,1211
372,2008-10,ARKANSAS,1204
373,2008-11,ARKANSAS,1200
374,2008-12,ARKANSAS,1195
375,2009-01,ARKANSAS,1167
376,2009-02,ARKANSAS,1168
377,2009-03,ARKANSAS,1173
378,2009-04,ARKANSAS,1174
379,2009-05,ARKANSAS,1171
380,2009-06,ARKANSAS,1164
381,2009-07,ARKANSAS,1151
382,2009-08,ARKANSAS,1154
383,2009-09,ARKANSAS,1164
384,2009-10,ARKANSAS,1161
385,2009-11,ARKANSAS,1163
386,2009-12,ARKANSAS,1162
387,2010-01,ARKANSAS,1136
388,2010-02,ARKANSAS,1137
389,2010-03,ARKANSAS,1154
390,2010-04,ARKANSAS,1162
391,2010-05,ARKANSAS,1175
392,2010-06,ARKANSAS,1177
393,2010-07,ARKANSAS,1159
394,2010-08,ARKANSAS,1164
395,2010-09,ARKANSAS,1172
396,2010-10,ARKANSAS,1171
397,2010-11,ARKANSAS,1172
398,2010-12,ARKANSAS,1172
399,2011-01,ARKANSAS,1148
400,2011-02,ARKANSAS,1148
401,2011-03,ARKANSAS,1162
402,2011-04,ARKANSAS,1177
403,2011-05,ARKANSAS,1173
404,2011-06,ARKANSAS,1166
405,2011-07,ARKANSAS,1159
406,2011-08,ARKANSAS,1166
407,2011-09,ARKANSAS,1178
408,2011-10,ARKANSAS,1184
409,2011-11,ARKANSAS,1184
410,2011-12,ARKANSAS,1183
411,2012-01,ARKANSAS,1160
412,2012-02,ARKANSAS,1166
413,2012-03,ARKANSAS,1177
414,2012-04,ARKANSAS,1182
415,2012-05,ARKANSAS,1188
416,2012-06,ARKANSAS,1181
417,2012-07,ARKANSAS,1161
418,2012-08,ARKANSAS,1170
419,2012-09,ARKANSAS,1181
420,2012-10,ARKANSAS,1182
421,2012-11,ARKANSAS,1184
422,2012-12,ARKANSAS,1187
423,2013-01,ARKANSAS,1161
424,2013-02,ARKANSAS,1170
425,2013-03,ARKANSAS,1177
426,2013-04,ARKANSAS,1182
427,2013-05,ARKANSAS,1186
428,2013-06,ARKANSAS,1176
429,2013-07,ARKANSAS,1162
430,2013-08,ARKANSAS,1169
431,2013-09,ARKANSAS,1183
432,2013-10,ARKANSAS,1186
433,2013-11,ARKANSAS,1189
434,2013-12,ARKANSAS,1184
435,2014-01,ARKANSAS,1164
436,2014-02,ARKANSAS,1173
437,2014-03,ARKANSAS,1182
438,2014-04,ARKANSAS,1190
439,2014-05,ARKANSAS,1198
440,2014-06,ARKANSAS,1190
441,2014-07,ARKANSAS,1173
442,2014-08,ARKANSAS,1183
443,2014-09,ARKANSAS,1200
444,2014-10,ARKANSAS,1203
445,2014-11,ARKANSAS,1208
446,2014-12,ARKANSAS,1212
447,2015-01,ARKANSAS,1187
448,2015-02,ARKANSAS,1196
449,2015-03,ARKANSAS,1198
450,2015-04,ARKANSAS,1209
451,2015-05,ARKANSAS,1219
452,2015-06,ARKANSAS,1212
453,2015-07,ARKANSAS,1198
454,2015-08,ARKANSAS,1210
455,2015-09,ARKANSAS,1227
456,2015-10,ARKANSAS,1228
457,2015-11,ARKANSAS,1233
458,2015-12,ARKANSAS,1237
459,2016-01,ARKANSAS,1210
460,2016-02,ARKANSAS,1220
461,2016-03,ARKANSAS,1227
462,2016-04,ARKANSAS,1235
463,2016-05,ARKANSAS,1239
464,2016-06,ARKANSAS,1231
465,2016-07,ARKANSAS,1218
466,2016-08,ARKANSAS,1227
467,2016-09,ARKANSAS,1245
468,2016-10,ARKANSAS,1245
469,2016-11,ARKANSAS,1247
470,2016-12,ARKANSAS,1247
471,2017-01,ARKANSAS,1224
472,2017-02,ARKANSAS,1235
473,2017-03,ARKANSAS,1243
474,2017-04,ARKANSAS,1251
475,2017-05,ARKANSAS,1254
476,2017-06,ARKANSAS,1248
477,2017-07,ARKANSAS,1232
478,2017-08,ARKANSAS,1241
479,2017-09,ARKANSAS,1259
480,2017-10,ARKANSAS,1262
481,2017-11,ARKANSAS,1266
482,2017-12,ARKANSAS,1265
483,2018-01,ARKANSAS,1242
484,2008-01,CALIFORNIA,15243
485,2008-02,CALIFORNIA,15335
486,2008-03,CALIFORNIA,15388
487,2008-04,CALIFORNIA,15400
488,2008-05,CALIFORNIA,15437
489,2008-06,CALIFORNIA,15463
490,2008-07,CALIFORNIA,15253
491,2008-08,CALIFORNIA,15241
492,2008-09,CALIFORNIA,15268
493,2008-10,CALIFORNIA,15241
494,2008-11,CALIFORNIA,15182
495,2008-12,CALIFORNIA,15143
496,2009-01,CALIFORNIA,14689
497,2009-02,CALIFORNIA,14623
498,2009-03,CALIFORNIA,14602
499,2009-04,CALIFORNIA,14537
500,2009-05,CALIFORNIA,14545
501,2009-06,CALIFORNIA,14515
502,2009-07,CALIFORNIA,14223
503,2009-08,CALIFORNIA,14202
504,2009-09,CALIFORNIA,14220
505,2009-10,CALIFORNIA,14352
506,2009-11,CALIFORNIA,14374
507,2009-12,CALIFORNIA,14383
508,2010-01,CALIFORNIA,14048
509,2010-02,CALIFORNIA,14089
510,2010-03,CALIFORNIA,14158
511,2010-04,CALIFORNIA,14290
512,2010-05,CALIFORNIA,14382
513,2010-06,CALIFORNIA,14395
514,2010-07,CALIFORNIA,14187
515,2010-08,CALIFORNIA,14209
516,2010-09,CALIFORNIA,14266
517,2010-10,CALIFORNIA,14413
518,2010-11,CALIFORNIA,14464
519,2010-12,CALIFORNIA,14494
520,2011-01,CALIFORNIA,14197
521,2011-02,CALIFORNIA,14280
522,2011-03,CALIFORNIA,14339
523,2011-04,CALIFORNIA,14405
524,2011-05,CALIFORNIA,14452
525,2011-06,CALIFORNIA,14471
526,2011-07,CALIFORNIA,14324
527,2011-08,CALIFORNIA,14370
528,2011-09,CALIFORNIA,14467
529,2011-10,CALIFORNIA,14574
530,2011-11,CALIFORNIA,14655
531,2011-12,CALIFORNIA,14677
532,2012-01,CALIFORNIA,14435
533,2012-02,CALIFORNIA,14532
534,2012-03,CALIFORNIA,14626
535,2012-04,CALIFORNIA,14664
536,2012-05,CALIFORNIA,14763
537,2012-06,CALIFORNIA,14830
538,2012-07,CALIFORNIA,14658
539,2012-08,CALIFORNIA,14737
540,2012-09,CALIFORNIA,14803
541,2012-10,CALIFORNIA,14945
542,2012-11,CALIFORNIA,15061
543,2012-12,CALIFORNIA,15084
544,2013-01,CALIFORNIA,14796
545,2013-02,CALIFORNIA,14922
546,2013-03,CALIFORNIA,15000
547,2013-04,CALIFORNIA,15065
548,2013-05,CALIFORNIA,15148
549,2013-06,CALIFORNIA,15178
550,2013-07,CALIFORNIA,15032
551,2013-08,CALIFORNIA,15146
552,2013-09,CALIFORNIA,15200
553,2013-10,CALIFORNIA,15344
554,2013-11,CALIFORNIA,15482
555,2013-12,CALIFORNIA,15498
556,2014-01,CALIFORNIA,15230
557,2014-02,CALIFORNIA,15327
558,2014-03,CALIFORNIA,15411
559,2014-04,CALIFORNIA,15477
560,2014-05,CALIFORNIA,15564
561,2014-06,CALIFORNIA,15595
562,2014-07,CALIFORNIA,15435
563,2014-08,CALIFORNIA,15573
564,2014-09,CALIFORNIA,15645
565,2014-10,CALIFORNIA,15800
566,2014-11,CALIFORNIA,15914
567,2014-12,CALIFORNIA,15938
568,2015-01,CALIFORNIA,15662
569,2015-02,CALIFORNIA,15757
570,2015-03,CALIFORNIA,15846
571,2015-04,CALIFORNIA,15919
572,2015-05,CALIFORNIA,16000
573,2015-06,CALIFORNIA,16038
574,2015-07,CALIFORNIA,15980
575,2015-08,CALIFORNIA,16077
576,2015-09,CALIFORNIA,16142
577,2015-10,CALIFORNIA,16330
578,2015-11,CALIFORNIA,16424
579,2015-12,CALIFORNIA,16448
580,2016-01,CALIFORNIA,16150
581,2016-02,CALIFORNIA,16261
582,2016-03,CALIFORNIA,16284
583,2016-04,CALIFORNIA,16431
584,2016-05,CALIFORNIA,16481
585,2016-06,CALIFORNIA,16468
586,2016-07,CALIFORNIA,16394
587,2016-08,CALIFORNIA,16469
588,2016-09,CALIFORNIA,16552
589,2016-10,CALIFORNIA,16694
590,2016-11,CALIFORNIA,16787
591,2016-12,CALIFORNIA,16793
592,2017-01,CALIFORNIA,16462
593,2017-02,CALIFORNIA,16582
594,2017-03,CALIFORNIA,16671
595,2017-04,CALIFORNIA,16744
596,2017-05,CALIFORNIA,16838
597,2017-06,CALIFORNIA,16883
598,2017-07,CALIFORNIA,16730
599,2017-08,CALIFORNIA,16816
600,2017-09,CALIFORNIA,16902
601,2017-10,CALIFORNIA,17054
602,2017-11,CALIFORNIA,17164
603,2017-12,CALIFORNIA,17189
604,2018-01,CALIFORNIA,16880
605,2008-01,COLORADO,2313
606,2008-02,COLORADO,2330
607,2008-03,COLORADO,2342
608,2008-04,COLORADO,2348
609,2008-05,COLORADO,2358
610,2008-06,COLORADO,2378
611,2008-07,COLORADO,2362
612,2008-08,COLORADO,2368
613,2008-09,COLORADO,2359
614,2008-10,COLORADO,2350
615,2008-11,COLORADO,2339
616,2008-12,COLORADO,2339
617,2009-01,COLORADO,2270
618,2009-02,COLORADO,2260
619,2009-03,COLORADO,2256
620,2009-04,COLORADO,2246
621,2009-05,COLORADO,2249
622,2009-06,COLORADO,2257
623,2009-07,COLORADO,2236
624,2009-08,COLORADO,2234
625,2009-09,COLORADO,2231
626,2009-10,COLORADO,2230
627,2009-11,COLORADO,2226
628,2009-12,COLORADO,2233
629,2010-01,COLORADO,2173
630,2010-02,COLORADO,2187
631,2010-03,COLORADO,2199
632,2010-04,COLORADO,2210
633,2010-05,COLORADO,2224
634,2010-06,COLORADO,2240
635,2010-07,COLORADO,2230
636,2010-08,COLORADO,2233
637,2010-09,COLORADO,2227
638,2010-10,COLORADO,2235
639,2010-11,COLORADO,2237
640,2010-12,COLORADO,2253
641,2011-01,COLORADO,2201
642,2011-02,COLORADO,2212
643,2011-03,COLORADO,2227
644,2011-04,COLORADO,2246
645,2011-05,COLORADO,2251
646,2011-06,COLORADO,2273
647,2011-07,COLORADO,2262
648,2011-08,COLORADO,2272
649,2011-09,COLORADO,2278
650,2011-10,COLORADO,2276
651,2011-11,COLORADO,2283
652,2011-12,COLORADO,2300
653,2012-01,COLORADO,2248
654,2012-02,COLORADO,2261
655,2012-03,COLORADO,2281
656,2012-04,COLORADO,2291
657,2012-05,COLORADO,2301
658,2012-06,COLORADO,2329
659,2012-07,COLORADO,2317
660,2012-08,COLORADO,2327
661,2012-09,COLORADO,2329
662,2012-10,COLORADO,2339
663,2012-11,COLORADO,2349
664,2012-12,COLORADO,2362
665,2013-01,COLORADO,2309
666,2013-02,COLORADO,2331
667,2013-03,COLORADO,2348
668,2013-04,COLORADO,2357
669,2013-05,COLORADO,2370
670,2013-06,COLORADO,2395
671,2013-07,COLORADO,2388
672,2013-08,COLORADO,2402
673,2013-09,COLORADO,2402
674,2013-10,COLORADO,2408
675,2013-11,COLORADO,2420
676,2013-12,COLORADO,2433
677,2014-01,COLORADO,2389
678,2014-02,COLORADO,2405
679,2014-03,COLORADO,2421
680,2014-04,COLORADO,2438
681,2014-05,COLORADO,2452
682,2014-06,COLORADO,2478
683,2014-07,COLORADO,2470
684,2014-08,COLORADO,2487
685,2014-09,COLORADO,2488
686,2014-10,COLORADO,2500
687,2014-11,COLORADO,2505
688,2014-12,COLORADO,2527
689,2015-01,COLORADO,2481
690,2015-02,COLORADO,2498
691,2015-03,COLORADO,2508
692,2015-04,COLORADO,2521
693,2015-05,COLORADO,2530
694,2015-06,COLORADO,2555
695,2015-07,COLORADO,2550
696,2015-08,COLORADO,2554
697,2015-09,COLORADO,2557
698,2015-10,COLORADO,2567
699,2015-11,COLORADO,2575
700,2015-12,COLORADO,2591
701,2016-01,COLORADO,2543
702,2016-02,COLORADO,2558
703,2016-03,COLORADO,2570
704,2016-04,COLORADO,2587
705,2016-05,COLORADO,2582
706,2016-06,COLORADO,2614
707,2016-07,COLORADO,2615
708,2016-08,COLORADO,2622
709,2016-09,COLORADO,2627
710,2016-10,COLORADO,2624
711,2016-11,COLORADO,2631
712,2016-12,COLORADO,2645
713,2017-01,COLORADO,2590
714,2017-02,COLORADO,2612
715,2017-03,COLORADO,2630
716,2017-04,COLORADO,2641
717,2017-05,COLORADO,2647
718,2017-06,COLORADO,2678
719,2017-07,COLORADO,2672
720,2017-08,COLORADO,2679
721,2017-09,COLORADO,2681
722,2017-10,COLORADO,2686
723,2017-11,COLORADO,2692
724,2017-12,COLORADO,2711
725,2018-01,COLORADO,2661
726,2008-01,CONNECTICUT,1686
727,2008-02,CONNECTICUT,1693
728,2008-03,CONNECTICUT,1699
729,2008-04,CONNECTICUT,1712
730,2008-05,CONNECTICUT,1720
731,2008-06,CONNECTICUT,1726
732,2008-07,CONNECTICUT,1692
733,2008-08,CONNECTICUT,1688
734,2008-09,CONNECTICUT,1704
735,2008-10,CONNECTICUT,1707
736,2008-11,CONNECTICUT,1708
737,2008-12,CONNECTICUT,1704
738,2009-01,CONNECTICUT,1640
739,2009-02,CONNECTICUT,1640
740,2009-03,CONNECTICUT,1634
741,2009-04,CONNECTICUT,1633
742,2009-05,CONNECTICUT,1643
743,2009-06,CONNECTICUT,1641
744,2009-07,CONNECTICUT,1610
745,2009-08,CONNECTICUT,1603
746,2009-09,CONNECTICUT,1624
747,2009-10,CONNECTICUT,1628
748,2009-11,CONNECTICUT,1633
749,2009-12,CONNECTICUT,1636
750,2010-01,CONNECTICUT,1568
751,2010-02,CONNECTICUT,1576
752,2010-03,CONNECTICUT,1582
753,2010-04,CONNECTICUT,1607
754,2010-05,CONNECTICUT,1625
755,2010-06,CONNECTICUT,1625
756,2010-07,CONNECTICUT,1609
757,2010-08,CONNECTICUT,1604
758,2010-09,CONNECTICUT,1624
759,2010-10,CONNECTICUT,1635
760,2010-11,CONNECTICUT,1641
761,2010-12,CONNECTICUT,1644
762,2011-01,CONNECTICUT,1591
763,2011-02,CONNECTICUT,1603
764,2011-03,CONNECTICUT,1605
765,2011-04,CONNECTICUT,1633
766,2011-05,CONNECTICUT,1638
767,2011-06,CONNECTICUT,1638
768,2011-07,CONNECTICUT,1623
769,2011-08,CONNECTICUT,1616
770,2011-09,CONNECTICUT,1639
771,2011-10,CONNECTICUT,1643
772,2011-11,CONNECTICUT,1650
773,2011-12,CONNECTICUT,1656
774,2012-01,CONNECTICUT,1607
775,2012-02,CONNECTICUT,1618
776,2012-03,CONNECTICUT,1626
777,2012-04,CONNECTICUT,1638
778,2012-05,CONNECTICUT,1649
779,2012-06,CONNECTICUT,1654
780,2012-07,CONNECTICUT,1633
781,2012-08,CONNECTICUT,1628
782,2012-09,CONNECTICUT,1650
783,2012-10,CONNECTICUT,1659
784,2012-11,CONNECTICUT,1668
785,2012-12,CONNECTICUT,1672
786,2013-01,CONNECTICUT,1618
787,2013-02,CONNECTICUT,1621
788,2013-03,CONNECTICUT,1632
789,2013-04,CONNECTICUT,1655
790,2013-05,CONNECTICUT,1665
791,2013-06,CONNECTICUT,1676
792,2013-07,CONNECTICUT,1655
793,2013-08,CONNECTICUT,1646
794,2013-09,CONNECTICUT,1661
795,2013-10,CONNECTICUT,1667
796,2013-11,CONNECTICUT,1679
797,2013-12,CONNECTICUT,1676
798,2014-01,CONNECTICUT,1631
799,2014-02,CONNECTICUT,1630
800,2014-03,CONNECTICUT,1639
801,2014-04,CONNECTICUT,1665
802,2014-05,CONNECTICUT,1677
803,2014-06,CONNECTICUT,1684
804,2014-07,CONNECTICUT,1661
805,2014-08,CONNECTICUT,1656
806,2014-09,CONNECTICUT,1674
807,2014-10,CONNECTICUT,1683
808,2014-11,CONNECTICUT,1693
809,2014-12,CONNECTICUT,1695
810,2015-01,CONNECTICUT,1649
